"sep=,"
"Impacto de negocio","Recomendación","Identificador de suscripción","Nombre de suscripción","Grupo de recursos","Nombre de recurso","Tipo","Last refreshed on","Posibles ventajas","Cost implications (Preview)","Description of changes","Retirement date","Retiring feature"
"Alta","Configure e implemente direcciones IP públicas y recursos relacionados para usar zonas de disponibilidad.","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt_public_ip","Dirección IP pública","2026-06-05T11:27:14.2813323Z","Se ha mejorado el tiempo de actividad y la disponibilidad de las aplicaciones.","No hay datos.",""
"Mediano","Migrate workload to Virtual Machine Scale Sets Flex","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","rg_fgt","fgt","Virtual machine","2026-06-04T21:39:37.7346159Z","Enhanced resilience to platform faults and updates.","No hay datos.",""
"Mediano","Usar una puerta de enlace NAT para la conectividad saliente","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-bi-sql","glm-bi-sql-vnet","Red virtual","2026-06-02T19:01:10.93841Z","Evitar errores de conexión saliente con una puerta de enlace NAT","No hay datos.",""
"Alta","El soporte para TLS 1.0 y TLS 1.1 en cuentas de almacenamiento de Azure dejará de estar disponible","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","azurebackuprg_westus_1","azurebackuprgwestus1d115","Cuenta de almacenamiento","2026-05-29T03:08:06.3202275Z","Evitar posibles interrupciones","No hay datos.","","2/2/2026","Support for TLS 1.0 and 1.1"
"Mediano","Upgrade general-purpose v1 storage accounts","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","azurebackuprg_westus_1","azurebackuprgwestus1d115","Storage Account","2026-06-05T13:14:23.0245804Z","Avoid service disruptions and gain improved performance","No hay datos.","","12/10/2026","Legacy Blob and General-Purpose v1 storage accounts"
"Alta","Enable zone redundancy for storage accounts to improve high availability and resiliency","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","azurebackuprg_westus_1","azurebackuprgwestus1d115","Storage Account","2026-06-05T12:50:36.9751353Z","Achieve higher availability for the application.","Medium","ZRS are priced higher than LRS due to the infrastructure needed for cross-zone replication. 
 Manual migration may involve costs for data movement tools and temporary duplication of storage resources."
"Mediano","Habilitación de la eliminación temporal para proteger los datos del blob","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","azurebackuprg_westus_1","azurebackuprgwestus1d115","Cuenta de almacenamiento","2026-05-17T12:20:37.3925266Z","Restaurar blobs o instantáneas después de sobrescribirlos o eliminarlos","No hay datos.",""
"Mediano","Usar una puerta de enlace NAT para la conectividad saliente","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","azurebackuprg_westus_1","azurebackuprg_westus_1-vnet","Red virtual","2026-06-02T19:01:10.93841Z","Evitar errores de conexión saliente con una puerta de enlace NAT","No hay datos.",""
"Alta","Creación de una alerta Azure Service Health","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","No hay ningún grupo de recursos","9d81a980-2eb4-4d5b-907f-dc099e648f25","Suscripción","2026-06-05T11:34:58.9724164Z","Obtención de alertas sobre problemas de servicio, seguridad y estado","No hay datos.",""
"Mediano","Migrate workload to Virtual Machine Scale Sets Flex","9d81a980-2eb4-4d5b-907f-dc099e648f25","Azure subscription 1 (9d81a980-2eb4-4d5b-907f-dc099e648f25)","glm-intel","glm-intelisis","Virtual machine","2026-06-04T21:39:37.7346159Z","Enhanced resilience to platform faults and updates.","No hay datos.",""
